,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.74,1.26,1.17,2.22,2.38,0.91,0.75,0.80
DCC_joint,,0.74,,0.73,0.73,2.02,2.27,2.62,2.30,2.72
DCC_bivariate_loop,,1.26,0.73,,0.28,1.33,1.53,3.39,3.05,3.56
SW_cross_validated,,1.17,0.73,0.28,,0.62,0.71,2.19,2.04,2.13
SW_15,,2.22,2.02,1.33,0.62,,0.11,4.51,4.19,4.72
SW_30,,2.38,2.27,1.53,0.71,0.11,,5.01,4.64,5.34
SW_60,,0.91,2.62,3.39,2.19,4.51,5.01,,0.27,0.39
SW_120,,0.75,2.30,3.05,2.04,4.19,4.64,0.27,,0.03
sFC,,0.80,2.72,3.56,2.13,4.72,5.34,0.39,0.03,
