,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.77,1.36,12.47,42.25,26.52,15.55,10.64,-14.48
DCC_joint,,0.77,,1.18,18.90,95.98,55.34,30.79,16.68,-23.96
DCC_bivariate_loop,,1.36,1.18,,18.04,94.47,54.01,29.53,15.75,-24.79
SW_cross_validated,,12.47,18.90,18.04,,42.47,18.46,2.29,-2.94,-35.21
SW_15,,42.25,95.98,94.47,42.47,,-40.90,-66.25,-50.47,-87.34
SW_30,,26.52,55.34,54.01,18.46,-40.90,,-24.99,-23.88,-62.32
SW_60,,15.55,30.79,29.53,2.29,-66.25,-24.99,,-6.25,-45.79
SW_120,,10.64,16.68,15.75,-2.94,-50.47,-23.88,-6.25,,-34.01
sFC,,-14.48,-23.96,-24.79,-35.21,-87.34,-62.32,-45.79,-34.01,
