,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,4.4262e-01,1.7520e-01,2.3175e-30,3.6019e-149,5.4100e-90,6.2990e-43,1.9735e-23,1.7583e-38
DCC_joint,,4.4262e-01,,2.3988e-01,2.5071e-57,2.6835e-277,5.0809e-189,2.3139e-107,1.0049e-47,3.2958e-79
DCC_bivariate_loop,,1.7520e-01,2.3988e-01,,1.3428e-53,1.1083e-274,2.7164e-185,2.6149e-102,8.7282e-44,1.0114e-82
SW_cross_validated,,2.3175e-30,2.5071e-57,1.3428e-53,,6.4448e-150,1.9634e-55,2.2532e-02,3.5056e-03,2.5089e-124
SW_15,,3.6019e-149,2.6835e-277,1.1083e-274,6.4448e-150,,1.3026e-144,4.6785e-217,4.4807e-175,9.6648e-262
SW_30,,5.4100e-90,5.0809e-189,2.7164e-185,1.9634e-55,1.3026e-144,,1.4756e-83,7.2517e-79,2.0639e-207
SW_60,,6.2990e-43,2.3139e-107,2.6149e-102,2.2532e-02,4.6785e-217,1.4756e-83,,1.0363e-09,9.8644e-161
SW_120,,1.9735e-23,1.0049e-47,8.7282e-44,3.5056e-03,4.4807e-175,7.2517e-79,1.0363e-09,,8.3345e-120
sFC,,1.7583e-38,3.2958e-79,1.0114e-82,2.5089e-124,9.6648e-262,2.0639e-207,9.8644e-161,8.3345e-120,
