,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.004,0.002,0.005,0.008,0.006,0.007,0.027,,0.022,0.003,0.004,0.009
DCC_joint,0.004,0.004,0.003,0.004,0.005,0.005,0.002,,0.002,0.002,0.003,0.003
DCC_bivariate_loop,0.005,0.004,0.003,0.004,0.005,0.005,0.002,,0.001,0.003,0.003,0.004
SW_cross_validated,0.003,0.007,0.009,0.007,0.008,0.011,0.008,,0.009,0.004,0.007,0.007
SW_15,0.004,0.007,0.008,0.006,0.006,0.013,0.007,,0.009,0.007,0.007,0.007
SW_30,0.003,0.006,0.008,0.006,0.006,0.012,0.006,,0.010,0.006,0.006,0.007
SW_60,0.003,0.005,0.006,0.004,0.006,0.006,0.003,,0.011,0.005,0.004,0.005
SW_120,0.003,0.005,0.007,0.003,0.003,0.002,0.003,,0.009,0.003,0.005,0.004
sFC,0.004,0.001,0.001,0.001,0.000,0.000,0.001,,0.000,0.000,0.000,0.001
