,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.002,0.001,0.001,0.002,0.002,,,0.002,0.001,0.001,,0.002
DCC_joint,0.002,0.002,0.001,0.001,0.001,,,0.001,0.001,0.001,,0.001
DCC_bivariate_loop,0.002,0.002,0.001,0.001,0.001,,,0.001,0.001,0.001,,0.001
SW_cross_validated,0.002,0.002,0.002,0.001,0.001,,,0.002,0.001,0.001,,0.002
SW_15,0.001,0.001,0.001,0.001,0.002,,,0.001,0.002,0.001,,0.001
SW_30,0.001,0.002,0.001,0.001,0.001,,,0.001,0.001,0.001,,0.001
SW_60,0.001,0.002,0.001,0.001,0.001,,,0.001,0.001,0.001,,0.001
SW_120,0.002,0.002,0.002,0.001,0.001,,,0.001,0.001,0.002,,0.001
sFC,0.002,0.002,0.000,0.000,0.000,,,0.001,0.000,0.001,,0.001
