,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,2.76,-8.47,4.42,26.02,4.01,19.76,13.78,9.34
DCC_joint,,2.76,,-15.92,2.83,33.03,2.21,27.80,16.18,12.01
DCC_bivariate_loop,,-8.47,-15.92,,14.81,41.50,15.14,37.75,27.15,26.36
SW_cross_validated,,4.42,2.83,14.81,,23.91,-0.71,16.85,10.22,4.53
SW_15,,26.02,33.03,41.50,23.91,,-26.26,-11.70,-14.92,-27.80
SW_30,,4.01,2.21,15.14,-0.71,-26.26,,19.35,11.72,6.06
SW_60,,19.76,27.80,37.75,16.85,-11.70,19.35,,-5.72,-20.99
SW_120,,13.78,16.18,27.15,10.22,-14.92,11.72,-5.72,,-9.21
sFC,,9.34,12.01,26.36,4.53,-27.80,6.06,-20.99,-9.21,
