,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.009,0.006,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.002
DCC_bivariate_loop,0.010,0.007,0.009,0.008,0.013,0.006,0.009,0.007,0.012,0.003,0.007,0.008
SW_cross_validated,0.010,0.004,0.007,0.003,0.003,0.003,0.002,0.002,0.007,0.004,0.007,0.005
SW_15,0.010,0.010,0.011,0.010,0.012,0.006,0.013,0.010,0.006,0.008,0.009,0.010
SW_30,0.009,0.010,0.013,0.011,0.012,0.006,0.013,0.009,0.009,0.008,0.008,0.010
SW_60,0.009,0.011,0.016,0.010,0.009,0.005,0.006,0.006,0.008,0.008,0.008,0.009
SW_120,0.010,0.005,0.011,0.007,0.006,0.003,0.003,0.003,0.006,0.009,0.012,0.007
sFC,0.010,0.003,0.002,0.001,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.002
