,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.050,0.050,0.053,0.053,0.053,0.054,0.054,0.051,0.055,0.050,0.050,0.052
DCC_bivariate_loop,0.061,0.061,0.061,0.061,0.062,0.062,0.062,0.062,0.061,0.062,0.062,0.062
SW_cross_validated,0.081,0.080,0.081,0.082,0.084,0.084,0.083,0.082,0.080,0.080,0.081,0.081
SW_15,0.275,0.274,0.275,0.275,0.275,0.275,0.275,0.275,0.274,0.275,0.275,0.275
SW_30,0.191,0.190,0.191,0.191,0.191,0.191,0.191,0.191,0.190,0.191,0.191,0.191
SW_60,0.137,0.137,0.137,0.137,0.137,0.138,0.138,0.138,0.137,0.137,0.138,0.137
SW_120,0.110,0.110,0.110,0.110,0.112,0.114,0.116,0.111,0.111,0.112,0.113,0.112
sFC,0.050,0.050,0.053,0.053,0.053,0.054,0.054,0.051,0.055,0.050,0.051,0.052
