,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.8739e-16,7.2457e-27,2.8245e-90,1.5671e-244,9.4857e-174,7.0908e-121,5.5161e-81,1.5127e-16
DCC_joint,,1.8739e-16,,1.0066e-04,5.2601e-69,6.5513e-258,6.5794e-174,6.7595e-108,8.5529e-59,7.2373e-01
DCC_bivariate_loop,,7.2457e-27,1.0066e-04,,1.5656e-47,1.8986e-237,1.8466e-150,2.1178e-82,6.4109e-41,6.4257e-04
SW_cross_validated,,2.8245e-90,5.2601e-69,1.5656e-47,,2.0038e-195,5.0913e-83,1.6308e-10,7.4096e-01,9.3465e-64
SW_15,,1.5671e-244,6.5513e-258,1.8986e-237,2.0038e-195,,1.5929e-128,1.9425e-195,1.1962e-171,1.1690e-248
SW_30,,9.4857e-174,6.5794e-174,1.8466e-150,5.0913e-83,1.5929e-128,,8.9085e-65,4.1234e-67,2.3257e-165
SW_60,,7.0908e-121,6.7595e-108,2.1178e-82,1.6308e-10,1.9425e-195,8.9085e-65,,1.7684e-07,2.5760e-100
SW_120,,5.5161e-81,8.5529e-59,6.4109e-41,7.4096e-01,1.1962e-171,4.1234e-67,1.7684e-07,,7.0232e-55
sFC,,1.5127e-16,7.2373e-01,6.4257e-04,9.3465e-64,1.1690e-248,2.3257e-165,2.5760e-100,7.0232e-55,
