,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.010,0.011,0.013,0.011,0.009,0.039,0.004,0.004,0.008,0.009,0.006,0.011
DCC_joint,0.006,0.007,0.008,0.003,0.004,0.002,0.004,0.002,0.007,0.006,0.006,0.005
DCC_bivariate_loop,0.009,0.009,0.007,0.004,0.006,0.006,0.006,0.007,0.004,0.010,0.009,0.007
SW_cross_validated,0.010,0.011,0.009,0.007,0.007,0.006,0.005,0.008,0.008,0.014,0.008,0.008
SW_15,0.005,0.005,0.009,0.004,0.007,0.007,0.006,0.007,0.007,0.006,0.006,0.006
SW_30,0.005,0.007,0.007,0.005,0.008,0.006,0.009,0.010,0.005,0.009,0.006,0.007
SW_60,0.007,0.007,0.005,0.006,0.007,0.008,0.010,0.010,0.005,0.007,0.008,0.007
SW_120,0.016,0.010,0.009,0.012,0.008,0.007,0.009,0.012,0.009,0.013,0.009,0.010
sFC,0.006,0.007,0.002,0.004,0.003,0.002,0.003,0.004,0.002,0.007,0.005,0.004
