,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.011,0.004,0.011,0.013,0.009,0.061,0.001,0.009,0.003,0.003,0.005,0.012
DCC_joint,0.007,0.007,0.008,0.008,0.007,0.008,0.006,0.005,0.011,0.003,0.008,0.007
DCC_bivariate_loop,0.011,0.007,0.006,0.007,0.005,0.009,0.005,0.008,0.006,0.006,0.005,0.007
SW_cross_validated,0.011,0.004,0.006,0.015,0.018,0.031,0.002,0.012,0.009,0.005,0.008,0.011
SW_15,0.006,0.008,0.009,0.015,0.010,0.007,0.010,0.009,0.008,0.009,0.009,0.009
SW_30,0.008,0.008,0.010,0.013,0.006,0.008,0.009,0.009,0.005,0.009,0.007,0.008
SW_60,0.009,0.006,0.009,0.008,0.009,0.005,0.003,0.008,0.003,0.006,0.003,0.006
SW_120,0.010,0.008,0.012,0.007,0.006,0.003,0.003,0.004,0.003,0.007,0.005,0.006
sFC,0.009,0.007,0.001,0.002,0.001,0.001,0.001,0.002,0.000,0.003,0.002,0.003
