,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.000,0.028,0.025,0.037,0.032,0.031,0.025,0.032,0.033,0.027,0.022,0.028,0.023,0.022,0.018
1,0.028,0.000,0.023,0.028,0.023,0.033,0.027,0.016,0.030,0.025,0.019,0.025,0.028,0.025,0.018
2,0.025,0.023,0.000,0.036,0.021,0.024,0.019,0.025,0.026,0.023,0.018,0.023,0.023,0.020,0.017
3,0.037,0.028,0.036,0.000,0.034,0.028,0.026,0.025,0.028,0.027,0.026,0.029,0.027,0.026,0.021
4,0.032,0.023,0.021,0.034,0.000,0.025,0.018,0.025,0.029,0.027,0.018,0.027,0.022,0.024,0.025
5,0.031,0.033,0.024,0.028,0.025,0.000,0.028,0.032,0.032,0.032,0.020,0.031,0.027,0.027,0.018
6,0.025,0.027,0.019,0.026,0.018,0.028,0.000,0.028,0.028,0.026,0.018,0.023,0.022,0.021,0.018
7,0.032,0.016,0.025,0.025,0.025,0.032,0.028,0.000,0.031,0.031,0.019,0.026,0.028,0.026,0.019
8,0.033,0.030,0.026,0.028,0.029,0.032,0.028,0.031,0.000,0.030,0.020,0.030,0.029,0.025,0.018
9,0.027,0.025,0.023,0.027,0.027,0.032,0.026,0.031,0.030,0.000,0.024,0.030,0.026,0.024,0.017
10,0.022,0.019,0.018,0.026,0.018,0.020,0.018,0.019,0.020,0.024,0.000,0.020,0.020,0.018,0.018
11,0.028,0.025,0.023,0.029,0.027,0.031,0.023,0.026,0.030,0.030,0.020,0.000,0.024,0.025,0.019
12,0.023,0.028,0.023,0.027,0.022,0.027,0.022,0.028,0.029,0.026,0.020,0.024,0.000,0.019,0.015
13,0.022,0.025,0.020,0.026,0.024,0.027,0.021,0.026,0.025,0.024,0.018,0.025,0.019,0.000,0.016
14,0.018,0.018,0.017,0.021,0.025,0.018,0.018,0.019,0.018,0.017,0.018,0.019,0.015,0.016,0.000
