,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1.00,-0.14,0.31,-0.03,0.25,0.09,-0.04,0.14,0.15,0.08,-0.03,0.24,-0.04,-0.10,-0.10
1,-0.14,1.00,-0.11,0.08,-0.04,0.03,0.15,-0.32,0.14,0.23,0.04,-0.11,0.03,-0.04,-0.01
2,0.31,-0.11,1.00,0.07,0.19,-0.02,-0.09,0.11,0.17,0.00,-0.15,0.07,-0.07,0.18,0.02
3,-0.03,0.08,0.07,1.00,-0.20,0.06,0.18,0.06,0.03,-0.01,0.18,-0.07,0.12,0.20,0.14
4,0.25,-0.04,0.19,-0.20,1.00,-0.01,-0.14,0.14,0.04,0.16,-0.25,0.40,-0.08,-0.23,-0.18
5,0.09,0.03,-0.02,0.06,-0.01,1.00,0.17,0.16,0.11,0.11,0.04,0.10,0.15,-0.04,-0.04
6,-0.04,0.15,-0.09,0.18,-0.14,0.17,1.00,0.05,0.09,0.12,0.16,-0.07,0.24,0.09,0.02
7,0.14,-0.32,0.11,0.06,0.14,0.16,0.05,1.00,-0.09,0.02,-0.03,0.18,0.17,0.07,0.14
8,0.15,0.14,0.17,0.03,0.04,0.11,0.09,-0.09,1.00,0.02,-0.09,0.04,-0.02,0.14,-0.12
9,0.08,0.23,0.00,-0.01,0.16,0.11,0.12,0.02,0.02,1.00,-0.06,0.04,0.09,-0.11,-0.13
10,-0.03,0.04,-0.15,0.18,-0.25,0.04,0.16,-0.03,-0.09,-0.06,1.00,0.05,0.06,0.13,0.04
11,0.24,-0.11,0.07,-0.07,0.40,0.10,-0.07,0.18,0.04,0.04,0.05,1.00,-0.04,-0.06,-0.22
12,-0.04,0.03,-0.07,0.12,-0.08,0.15,0.24,0.17,-0.02,0.09,0.06,-0.04,1.00,0.07,0.17
13,-0.10,-0.04,0.18,0.20,-0.23,-0.04,0.09,0.07,0.14,-0.11,0.13,-0.06,0.07,1.00,0.11
14,-0.10,-0.01,0.02,0.14,-0.18,-0.04,0.02,0.14,-0.12,-0.13,0.04,-0.22,0.17,0.11,1.00
